No,index, name, address, latitude, longtitude,경도,위도
23,23,카이스트 정문,유성구 구성동 284-4,,,?,?
25,25,카이스트 후문,유성구 구성동 145,,,?,?
26,26,엑스포과학공원 주차장,유성구 가정동 39-2,,,?,?
30,30,선사유적지공용주차장,서구 월평2동 2243,,,?,?
60,60,유성온천역 3번출구,유성구 봉명동 326-95,,,?,?
61,61,만년교(코젤병원),유성구 봉명동 328-22,,,?,?
63,63,상대초등학교,유성구 상대동 138-67,,,?,?
64,64,유성생명과학고등학교,유성구 상대동 425-9,,,?,?
65,65,도안 센트롤시티,유성구 봉명동 385-1,,,?,?
67,67,도안 한라비발디,유성구 상대동 173,,,?,?
68,68,도안 신안인스빌리베라,유성구 원신흥동 204-8,,,?,?
69,69,도안 트리풀시티9단지(504동 맞은편),유성구 상대동 72-5,,,?,?
70,70,도안 휴먼시아10단지,유성구 원신흥동 183-2,,,?,?
84,84,강남한의원,중구 태평2동 2409-21,,,?,?
86,86,삼부프라자,중구 태평2동 2395-1,,,?,?
93,93,서대전육교,중구 유천동 186-7,,,?,?
94,94,미리내아파트,동구 판암동 451-10,,,?,?
96,96,판암역 4번출구,동구 판암동 303-25,,,?,?
98,98,은어송마을입구,동구 가오동 217-4,,,?,?
117,117,동부네거리,동구 용전동 111-26,,,?,?
125,125,엑슬루타워,대덕구 석봉동 336,,,?,?
128,128,과선교버스정류장,대덕구 평촌동 264-64,,,?,?
139,139,서대전네거리역 3번출구,중구 오류동 152-5,,,?,?
144,144,타슈 관제센터,유성구 원촌동 76-1,,,?,?
145,145,도안 호반베르디움(201동),유성구 봉명동 972,,,?,?
146,146,도안 호반베르디움(101동),서구 가수원동 394,,,?,?
150,150,도안 우미린(1806동),서구 가수원동 1363,,,?,?
187,187,양우건설 내안애,유성구 원신흥동 485-3,,,?,?
189,189,샘물타운아파트(301동),유성구 원내동 349,,,?,?
203,203,죽동 금성백조,유성구 죽동 108-4,,,?,?
210,210,읍내동우편취급국,대덕구 읍내 215-5,,,?,?
227,227,죽동 대원칸타빌,유성구 죽동 141-3,,,?,?
247,247,목동 한사랑아파트(109동),중구 목동 112-12,,,?,?
